Index,Sentences,Annotation
29999,"Senator Kennedy, in connection with these problems of the future that you speak of, and the program that you enunciated earlier in your direct talk, you call for expanding some of the welfare programs for schools, for teacher salaries, medical care, and so forth; but you also call for reducing the federal debt.",Premise
30312,"And I'm wondering how you, if you're president in January, would go about paying the bill for all this.",Claim
30416,Does this mean that you?,None
30450,I didn't indicate.,None
30469,"I did not advocate reducing the federal debt because I don't believe that you're going to be able to reduce the federal debt very much in nineteen sixty-one, two, or three.",Claim
30642,"I think you have heavy obligations which affect our security, which we're going to have to meet.",Claim
30739,"And therefore I've never suggested we should uh - be able to retire the debt substantially, or even at all in nineteen sixty-one or two.",Premise
30884,"Senator, I believe in - in one of your speeches -",None
30943,"No, never.",None
30962,- you suggested that reducing the interest rate would help toward -,None
31039,No.,None
31039,No.,None
31047,Not reducing the interest -,None
31083,- a reduction of the Federal debt.,None
31127,- reducing the interest rate.,Premise
31157,"In my judgment, the hard money, tight money policy, fiscal policy of this Administration has contributed to the slow-down in our economy, which helped bring the recession of fifty-four; which made the recession of fifty-eight rather intense, and which has slowed, somewhat, our economic activity in 1960.",Claim
31462,"What I have talked about, however, the kind of programs that I've talked about, in my judgment, are uh - fiscally sound.",Premise
31583,"Medical care for the aged, I would put under social security.",Claim
31645,The Vice President and I disagree on this.,Premise
31688,"The program - the Javits-Nixon or the Nixon- Javits program - would have cost, if fully used uh - six hundred million dollars by the government per year, and six hundred million dollars by the state.",Premise
31888,"The program which I advocated, which failed by five votes in the United States Senate, would have put medical care for the aged in Social Security, and would have been paid for through the Social Security System and the Social Security tax.",Claim
32129,"Secondly, I support federal aid to education and federal aid for teachers' salaries.",None
32214,I think that's a good investment.,Claim
32248,I think we're going to have to do it.,Claim
32286,"And I think to heap the burden further on the property tax, which is already strained in many of our communities, will provide, will make sh- insure, in my opinion, that many of our children will not be adequately educated, and many of our teachers not adequately compensated.",Premise
32563,There is no greater return to an economy or to a society than an educational system second to none.,Premise
32663,"On the question of the development of natural resources, I would pay as you go in the sense that they would be balanced and the power revenues would bring back sufficient money to finance the projects, in the same way as the Tennessee Valley.",None
32906,I believe in the balanced budget.,Premise
32940,And the only conditions under which I would unbalance the budget would be if there was a grave national emergency or a serious recession.,Premise
33078,"Otherwise, with a steady rate of economic growth - and Mr. Nixon and Mr. Rockefeller, in their meeting, said a five per cent economic growth would bring by 1962 ten billion dollars extra in tax revenues.",Claim
33282,"Whatever is brought in, I think that we can finance essential programs within a balanced budget, if business remains orderly.",None
33415,"Mr. Nixon, your comment?",None
33447,Yes.,Claim
33452,"I think what Mr. Novins was referring to was not one of Senator Kennedy's speeches, but the Democratic platform, which did mention cutting the national debt.",Claim
33610,"I think, too, that it should be pointed out that of course it is not possible, particularly under the proposals that Senator Kennedy has advocated, either to cut the national debt or to reduce taxes.",None
33810,As a matter of fact it will be necessary to raise taxes.,Premise
33867,As Senator Kennedy points out that as far as his one proposal is concerned - the one for medical care for the aged - that that would be financed out of Social Security.,Claim
34036,"That, however, is raising taxes for those who pay Social Security.",Premise
34103,He points out that he would make pay-as-you-go be the basis for our natural resources development.,Premise
34202,"Where our natural resources development - which I also support, incidentally, however - whenever you uh - uh - in - in - uh - appropriates money for one of these projects, you have to pay now and appropriate the money and the eh- while they eventually do pay out, it doesn't mean that you - the government doesn't have to put out the money this year.",Claim
34553,"And so I would say that in all of these proposals Senator Kennedy has made, they will result in one of two things: either he has to raise taxes or he has to unbalance the budget.",Claim
34732,"If he unbalances the budget, that means you have inflation, and that will be, of course, a very cruel blow to the very people - the older people - that we've been talking about.",Claim
34910,"As far as aid for school construction is concerned, I favor that, as Senator Kennedy did, in January of this year, when he said he favored that rather than aid to s- teacher salaries.",Premise
35094,I favor that because I believe that's the best way to aid our schools without running any risk whatever of the federal government telling our teachers what to teach.,None
35268,The next question to Vice President Nixon from Mr. Warren.,Claim
35335,"Mr. Vice President you mentioned schools and it was just yesterday I think you asked for a crash program to raise education standards, and this evening you talked about advances in education.",Premise
35527,"Mr. Vice President, you said - it was back in 1957 - that salaries paid to school teachers were nothing short of a national disgrace.",Premise
35661,"Higher salaries for teachers, you added, were important and if the situation wasn't corrected it could lead to a national disaster.",Premise
35793,"And yet, you refused to vote in the Senate in order to break a tie vote when that single vote, if it had been yes, would have granted salary increases to teachers.",None
35957,"I wonder if you could explain that, sir.",None
36006,I'm awfully glad you ge- got that question because as you know I got into it at the last of my other question and wasn't able to complete the argument.,Claim
36158,"Uh - I think that the reason that I voted against having the federal government uh - pay teachers' salaries was probably the very reason that concerned Senator Kennedy when in January of this year, in his kick-off press conference, he said that he favored aid for school construction, but at that time did not feel that there should be aid for teachers' salaries - at least that's the way I read his remarks.",None
36567,"Now, why should there be any question about the federal government aiding s- teachers' salaries?",None
36664,Why did Senator Kennedy take that position then?,None
36713,Why do I take it now?,None
36735,"We both took it then, and I take it now, for this reason: we want higher teachers' salaries.",Claim
36828,We need higher teachers' salaries.,Claim
36863,But we also want our education to be free of federal control.,Claim
36925,"When the federal government gets the power to pay teachers, inevitably in my opinion, it will acquire the power to set standards and to tell the teachers what to teach.",Claim
37094,I think this would be bad for the country; I think it would be bad for the teaching profession.,None
37190,There is another point that should be made.,None
37234,I favor higher salaries for teachers.,Premise
37272,"But, as Senator Kennedy said in January of this year in this same press conference, the way that you get higher salaries for teachers is to support school construction, which means that all of the local school districts in the various states then have money which is freed to raise the standards for teachers' salaries.",Claim
37592,"I should also point out this; once you put the responsibility on the federal government for paying a portion of teachers' salaries, your local communities and your states are not going to meet the responsibility as much as they should.",Claim
37828,"I believe, in other words, that we have seen the local communities and the state assuming more of that responsibility.",Premise
37947,Teachers' salaries very fortunately have gone up fifty percent in the last eight years as against only a thirty-four percent rise for other salaries.,None
38097,This is not enough; it should be more.,Claim
38136,But I do not believe that the way to get more salaries for teachers is to have the federal government get in with a massive program.,Premise
38269,My objection here is not the cost in dollars.,Premise
38315,"My objection here is the potential cost in controls and eventual freedom for the American people by giving the federal government power over education, and that is the greatest power a government can have.",None
38529,Senator Kennedy's comment?,Claim
38565,"When uh - the Vice President quotes me in January, sixty, I do not believe the federal government should pay directly teachers' salaries, but that was not the issue before the Senate in February.",Premise
38761,The issue before the Senate was that the money would be given to the state.,Premise
38837,The state then could determine whether the money would be spent for school construction or teacher salaries.,Claim
38946,On that question the Vice President and I disagreed.,Premise
38999,"I voted in favor of that proposal and supported it strongly, because I think that that provided assistance to our teachers for their salaries without any chance of federal control and it is on that vote that th- Mr. Nixon and I disagreed, and his tie vote uh - defeated his breaking the tie defeated the proposal.",Claim
39313,I don't want the federal government paying teachers' salaries directly.,Premise
39385,"But if the money will go to the states and the states can then determine whether it shall go for school construction or for teachers' salaries, in my opinion you protect the local authority over the school board and the school committee.",Claim
39623,And therefore I think that was a sound proposal and that is why I supported it and I regret that it did not pass.,Premise
39737,"Secondly, there have been statements made that uh - the Democratic platform would cost a good deal of money and that I am in favor of unbalancing the budget.",Premise
39895,"That is wholly wrong, wholly in error, and it is a fact that in the last eight years the Democratic Congress has reduced the appropri- the requests for the appropriations by over ten billion dollars.",Claim
40095,That is not my view and I think it ought to be stated very clearly on the record.,Claim
40177,My view is that you can do these programs - and they should be carefully drawn - within a balanced budget if our economy is moving ahead.,Premise
40322,The next question to Senator Kennedy from Mr. Vanocur.,Claim
40386,"Senator, you've been promising the voters that if you are elected president you'll try and push through Congress bills on medical aid to the aged, a comprehensive minimum hourly wage bill, federal aid to education.",None
40601,"Now, in the August post-convention session of the Congress, when you at least held up the possibility you could one day be president and when you had overwhelming majorities, especially in the Senate, you could not get action on these bills.",None
40843,Now how do you feel that you'll be able to get them in January -,None
40918,Well as you take the bills -,None
40956,- if you weren't able to get them in August?,Premise
41010,"If I may take the bills, we did pass in the Senate a bill uh - to provide a dollar twenty-five cent minimum wage.",Premise
41124,It failed because the House did not pass it and the House failed by eleven votes.,Premise
41206,And I might say that two-thirds of the Republicans in the House voted against a dollar twenty-five cent minimum wage and a majority of the Democrats sustained it - nearly two-thirds of them voted for the dollar twenty-five.,Claim
41430,We were threatened by a veto if we passed a dollar and a quarter - it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it.,Premise
41621,All the president needs to sustain his veto of any bill is one-third plus one in either the House or the Senate.,Premise
41734,"Secondly, we passed a federal aid to education bill in the Senate.",Claim
41801,It failed to came to the floor of the House of Representatives.,None
41865,It was killed in the Rules Committee.,Premise
41903,And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.,None
42110,Four Democrats voted for it.,Premise
42139,Every Republican on the Rules Committee voted against sending that bill to be considered by the members of the House of Representatives.,None
42276,"Thirdly, on medical care for the aged, this is the same fight that's been going on for twenty-five years in Social Security.",None
42401,We wanted to tie it to Social Security.,Claim
42441,We offered an amendment to do so.,Premise
42475,"Forty-four Democrats voted for it, one Republican voted for it.",Premise
42539,And we were informed at the time it came to a vote that if it was adopted the President of the United States would veto it.,Claim
42663,"In my judgment, a vigorous Democratic president supported by a Democratic majority in the House and Senate can win the support for these programs.",Claim
42810,"But if you send a Republican president and a Democratic majority and the threat of a veto hangs over the Congress, in my judgment you will continue what happened in the August session, which is a clash of parties and inaction.",None
43044,"Mr. Nixon, comment?",None
43071,Well obviously my views are a little different.,Claim
43119,"First of all, I don't see how it's possible for a one-third of a body, such as the Republicans have in the House and the Senate to stop two-thirds, if the two-thirds are adequately led.",Premise
43305,"I would say, too, that when Senator Kennedy refers to the action of the House Rules Committee, there are eight Democrats on that committee and four Republicans.",Claim
43466,It would seem to me again that it is very difficult to blame the four Republicans for the eight Democrats' not getting a something through that particular committee.,Claim
43632,I would say further that to blame the President in his veto power for the inability of the Senator and his colleagues to get action in this special session uh - misses the mark.,Premise
43810,"When the president exercises his veto power, he has to have the people upo- behind him, not just a third of the Congress.",None
43932,Because let's consider it.,Premise
43959,If the majority of the members of the Congress felt that these particular proposals were good issues - the majority of those who were Democrats - why didn't they pass them and send to the President and get a veto and have an issue?,Claim
44191,The reason why these particular bills in these various fields that have been mentioned were not passed was not because the President was against them; it was because the people were against them.,Claim
44387,It was because they were too extreme.,Premise
44425,"And I am convinced that the alternate proposals that I have, that the Republicans have in the field of health, in the field of education, in the field of welfare, because they are not extreme, because they will accomplish the end uh - without too great cost in dollars or in freedom, that they could get through the next Congress.",Claim
44763,The next question to Vice President Nixon fa- from Mr. Fleming.,None
44836,"Mr. Vice President, do I take it then you believe that you can work better with Democratic majorities in the House and Senate than Senator Kennedy could work with Democratic majorities in the House and Senate?",Claim
45054,"I would say this: that we, of course, expect to pick up some seats in both in the House and the Senate.",Premise
45158,"Uh - We would hope to control the House, to get a majority in the House uh - in this election.",None
45253,"We cannot, of course, control the Senate.",Claim
45295,"I would say that a president will be able to lead - a president will be able to get his program through - to the effect that he has the support of the country, the support of the people.",None
45482,Sometimes we - we get the opinion that in getting programs through the House or the Senate it's purely a question of legislative finagling and all that sort of thing.,None
45649,It isn't really that.,Premise
45671,"Whenever a majority of the people are for a program, the House and the Senate responds to it.",Claim
45765,"And whether this House and Senate, in the next session is Democratic or Republican, if the country will have voted for the candidate for the presidency and for the proposals that he has made, I believe that you will find that the president, if it were a Republican, as it would be in my case, would be able to get his program through that Congress.",None
46114,"Now, I also say that as far as Senator Kennedy's proposals are concerned, that, again, the question is not simply one of uh - a presidential veto stopping programs.",Claim
46279,You must always remember that a president can't stop anything unless he has the people behind him.,Premise
46378,"And the reason President Eisenhower's vetoes have been sustained - the reason the Congress does not send up bills to him which they think will be vetoed - is because the people and the Congress, the majority of them, know the country is behind the President.",None
46644,Senator Kennedy.,None
46670,"Well, now let's look at these bills that the Vice President suggests were too extreme.",Premise
46757,One was a bill for a dollar twenty-five cents an hour for anyone who works in a store or company that has a million dollars a year business.,Premise
46898,I don't think that's extreme at all; and yet nearly two-thirds to three-fourths of the Republicans in the House of Representatives voted against that proposal.,None
47058,Secondly was the federal aid to education bill.,Claim
47106,"It - it was a very uh - because of the defeat of teacher salaries, it was not a bill that uh - met in my opinion the need.",Premise
47229,"The fact of the matter is it was a bill that was less than you recommended, Mr. Nixon, this morning in your proposal.",Claim
47347,"It was not an extreme bill and yet we could not get one Republican to join, at least I think four of the eight Democrats voted to send it to the floor of the House - not one Republican - and they joined with those Democrats who were opposed to it.",Claim
47595,I don't say the Democrats are united in their support of the program.,None
47665,But I do say a majority are.,Claim
47694,And I say a majority of the Republicans are opposed to it.,None
47753,"The third is medical care for the aged which is tied to Social Security, which is financed out of Social Security funds.",None
47874,It does not put a deficit on the Treasury.,Premise
47917,"The proposal advanced by you and by Mr. Javits would have cost six hundred millions of dollars - Mr. Rockefeller rejected it in New York, said he didn't agree with the financing at all, said it ought to be on Social Security.",None
48143,So these are three programs which are quite moderate.,Claim
48197,I think it shows the difference between the two parties.,None
48254,One party is ready to move in these programs.,Claim
48300,The other party gives them lip service.,Claim
48348,Mr. Warren's question for Senator Kennedy.,None
48400,"Senator Kennedy, on another subject, Communism is so often described as an ideology or a belief that exists somewhere other than in the United States.",None
48551,"Let me ask you, sir: just how serious a threat to our national security are these Communist subversive activities in the United States today?",None
48702,"Well, I think they're serious.",Claim
48733,I think it's a matter that we should continue to uh - give uh - great care and attention to.,Claim
48826,We should support uh - the laws which the United States has passed in order to protect us from uh - those who would destroy us from within.,Claim
48966,"We should sustain uh - the Department of Justice in its efforts and the F.B.I., and we should be continually alert.",Premise
49082,"I think if the United States is maintaining a strong society here in the United States, I think that we can meet any internal threat.",Claim
49216,The major threat is external and will continue.,Claim
49271,"Mr. Nixon, comment?",Claim
49298,I agree with Senator Kennedy's appraisal generally in this respect.,Premise
49366,The question of Communism within the United States has been one that has worried us in the past.,Premise
49463,It is one that will continue to be a problem for years to come.,Premise
49527,"We have to remember that the cold war that Mr. Khrushchev is waging and his colleagues are waging, is waged all over the world and it's waged right here in the United States.",None
49702,That's why we have to continue to be alert.,Claim
49746,It is also essential in being alert that we be fair; fair because by being fair we uphold the very freedoms that the Communists would destroy.,Premise
49889,We uphold the standards of conduct which they would never follow.,Claim
49955,"And, in this connection, I think that uh - we must look to the future having in mind the fact that we fight Communism at home not only by our laws to deal with Communists uh - the few who do become Communists and the few who do become tra- fellow travelers, but we also fight Communism at home by moving against those various injustices which exist in our society which the Communists feed upon.",Claim
50351,"And in that connection I again would say that while Senator Kennedy says we are for the status quo, I do believe that he uh - would agree that I am just as sincere in believing that my proposals for federal aid to education, my proposals for health care are just as sincerely held as his.",None
50640,The question again is not one of goals - we're for those goals - it's one of means.,None
50732,Mr. Vanocur's question for Vice President Nixon.,None
50790,"Mr. Vice President uh - in one of your earlier statements you said we've moved ahead, we've built more schools, we've built more hospitals.",None
50930,"Now, sir, isn't it true that the building of more schools is a local matter for financing?",None
51021,"Uh - Were you claiming that the Eisenhower Administration was responsible for the building of these schools, or is it the local school districts that provide for it?",None
51194,Not at all.,None
51206,As a matter of fact your question brings out a point that I am very glad to make.,None
51288,Too often in appraising whether we are moving ahead or not we think only of what the federal government is doing.,None
51402,Now that isn't the test of whether America moves.,None
51452,"The test of whether America moves is whether the federal government, plus the state government, plus the local government, plus the biggest segment of all - individual enterprise - moves.",None
51640,We have for example a gross national product of approximately five hundred billion dollars.,None
51732,Roughly a hundred billion to a hundred and a quarter billion of that is the result of government activity.,None
51839,"Four hundred billion, approximately, is a result of what individuals do.",Premise
51912,"Now, the reason the Eisenhower Administration has moved, the reason that we've had the funds, for example, locally to build the schools, and the hospitals, and the highways, to make the progress that we have, is because this Administration has encouraged individual enterprise; and it has resulted in the greatest expansion of the private sector of the economy that has ever been witnessed in an eight-year period.",None
52327,And that is growth.,Claim
52347,That is the growth that we are looking for; it is the growth that this Administration has supported and that its policies have stimulated.,None
52493,Senator Kennedy.,Claim
52519,"Well, I must say that the reason that the schools have been constructed is because the local school districts were willing to increase the property taxes to a tremendously high figure - in my opinion, almost to the point of diminishing returns in order to sustain these schools.",None
52798,"Secondly, I think we have a rich uh - country.",Claim
52845,And I think we have a powerful country.,Claim
52885,"I think what we have to do, however, is have the president and the leadership set before our country exactly what we must do in the next decade, if we're going to maintain our security in education, in economic growth, in development of natural resources.",None
53141,The Soviet Union is making great gains.,None
53181,"It isn't enough to compare what might have been done eight years ago, or ten years ago, or fifteen years ago, or twenty years ago.",Claim
53312,"I want to compare what we're doing with what our adversaries are doing, so that by the year 1970 the United States is ahead in education, in health, in building, in homes, in economic strength.",Claim
53506,"I think that's the big assignment, the big task, the big function of the federal government.",None
53607,Can I have the summation time please?,None
53645,"We've completed our questions and our comments, and in just a moment, we'll have the summation time.",None
53753,This will allow three minutes and twenty seconds for the summation by each candidate.,None
53846,Three minutes and twenty seconds for each candidate.,None
53899,"Vice President Nixon, will you make the first summation?",None
53963,"Thank you, Mr. Smith.",None
53985,Senator Kennedy.,Claim
54002,"First of all, I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth.",None
54146,The Soviet Union has been moving faster than we have.,Claim
54200,But the reason for that is obvious.,None
54236,They start from a much lower base.,Premise
54271,"Although they have been moving faster in growth than we have, we find, for example, today that their total gross national product is only forty-four per cent of our total gross national product.",None
54466,That's the same percentage that it was twenty years ago.,Claim
54523,"And as far as the absolute gap is concerned, we find that the United States is even further ahead than it was twenty years ago.",None
54651,Is this any reason for complacency?,None
54687,Not at all Because these are determined men.,None
54732,They are fanatical men.,Premise
54756,And we have to get the very most of uh - out uh - out of our economy.,Premise
54826,I agree with Senator Kennedy completely on that score.,Claim
54881,Where we disagree is in the means that we would use to get the most out of our economy.,Premise
54969,"I respectfully submit that Senator Kennedy too often would rely too much on the federal government, on what it would do to solve our problems, to stimulate growth.",Claim
55133,"I believe that when we examine the Democratic platform, when we examine the proposals that he has discussed tonight, when we compare them with the proposals that I have made, that these proposals that he makes would not result in greater growth for this country than would be the case if we followed the programs that I have advocated.",None
55469,There are many of the points that he has made that I would like to comment upon.,None
55550,The one in the field of health is worth mentioning.,Premise
55602,"Our health program - the one that Senator Javits and other Republican Senators, as well as I supported - is one that provides for all people over sixty-five who want health insurance, the opportunity to have it if they want it.",Premise
55830,It provides a choice of having either government insurance or private insurance.,None
55911,But it compels nobody to have insurance who does not want it.,Premise
55973,"His program under Social Security, would require everybody who had Social Security to take government health insurance whether he wanted it or not.",Premise
56121,And it would not cover several million people who are not covered by Social Security at all.,None
56214,Here is one place where I think that our program does a better job than his.,Claim
56291,The other point that I would make is this: this downgrading of how much things cost I think many of our people will understand better when they look at what happened when - during the Truman Administration when the government was spending more than it took in - we found savings over a lifetime eaten up by inflation.,Premise
56609,We found the people who could least afford it - people on retired incomes uh - people on fixed incomes - we found them unable to meet their bills at the end of the month.,Premise
56780,It is essential that a man who's president of this country certainly stand for every program that will mean for growth.,None
56900,And I stand for programs that will mean growth and progress.,Premise
56961,But it is also essential that he not allow a dollar spent that could be better spent by the people themselves.,None
57080,"Senator Kennedy, your conclusion.",None
57123,The point was made by Mr. Nixon that the Soviet production is only forty-four percent of ours.,Claim
57218,I must say that forty-four percent and that Soviet country is causing us a good deal of trouble tonight.,None
57323,I want to make sure that it stays in that relationship.,Claim
57379,"I don't want to see the day when it's sixty percent of ours, and seventy and seventy-five and eighty and ninety percent of ours, with all the force and power that it could bring to bear in order to cause our destruction.",None
57600,"Secondly, the Vice President mentioned medical care for the aged.",None
57666,Our program was an amendment to the Kerr bill.,Premise
57713,The Kerr bill provided assistance to all those who were not on Social Security.,None
57793,I think it's a very clear contrast.,Premise
57829,"In 1935, when the Social Security Act was written, ninety-four out of ninety-five Republicans voted against it.",None
57941,Mr. Landon ran in 1936 to repeal it.,Premise
57978,"In August of 1960, when we tried to get it again, but this time for medical care, we received the support of one Republican in the Senate on this occasion.",Claim
58134,"Thirdly, I think the question before the American people is: as they look at this country and as they look at the world around them, the goals are the same for all Americans.",None
58309,The means are at question.,None
58336,The means are at issue.,Premise
58360,"If you feel that everything that is being done now is satisfactory, that the relative power and prestige and strength of the United States is increasing in relation to that of the Communists; that we've b- gaining more security, that we are achieving everything as a nation that we should achieve, that we are achieving a better life for our citizens and greater strength, then I agree.",None
58747,I think you should vote for Mr. Nixon.,Claim
58786,"But if you feel that we have to move again in the sixties, that the function of the president is to set before the people the unfinished business of our society as Franklin Roosevelt did in the thirties, the agenda for our people - what we must do as a society to meet our needs in this country and protect our security and help the cause of freedom.",Claim
59137,"As I said at the beginning, the question before us all, that faces all Republicans and all Democrats, is: can freedom in the next generation conquer, or are the Communists going to be successful?",None
59333,That's the great issue.,None
59357,And if we meet our responsibilities I think freedom will conquer.,Premise
59423,"If we fail, if we fail to move ahead, if we fail to develop sufficient military and economic and social strength here in this country, then I think that uh - the tide could begin to run against us.",Claim
59621,"And I don't want historians, ten years from now, to say, these were the years when the tide ran out for the United States.",Claim
59744,I want them to say these were the years when the tide came in; these were the years when the United States started to move again.,None
59874,"That's the question before the American people, and only you can decide what you want, what you want this country to be, what you want to do with the future.",None
60032,I think we're ready to move.,Claim
60061,"And it is to that great task, if we're successful, that we will address ourselves.",None
60151,"Thank you very much, gentlemen.",None
60183,This hour has gone by all too quickly.,None
60222,Thank you very much for permitting us to present the next president of the United States on this unique program.,None
60335,I've been asked by the candidates to thank the American networks and the affiliated stations for providing time and facilities for this joint appearance.,None
60489,Other debates in this series will be announced later and will be on different subjects.,None
60577,This is Howard K. Smith.,None
60602,Good night from Chicago.,
